token	lemma	pos
dilectissimis	dilectus	ADJ
fratribus	frater	NN
girardo	girardus	V
et	et	CON

henrico	henricus	NN
f	non_latin	NN
.	.	$.

nicolaus	nicolaus	V
illi	ille	PRO
placere	placeo	V
per	per	AP
omnia	omnis	ADJ
,	,	$,
qui	qui	PRO
est	sum	V
super	super	AP
omnia	omnis	ADJ
deus	deus	NN
benedictus	benedico	NP
in	in	AP
saecula	saeculum	NN
.	.	$.

sequentes	sequor	V
epistolae	epistola	NN
(	(	$(
si	si	CON
enim	enim	CON
epistolarum	epistola	NN
nomine	nomen	NN
censendae	censeo	V
sunt	sum	V
)	)	$(
non	non	ADV
sunt	sum	V
in	in	AP
unum	unus	NN
corpus	corpus	NN
mea	meus	PRO
primum	primum	ADV
voluntate	voluntas	NN
compactae	compactus	V
,	,	$,
nihil	nihil	PRO
in	in	AP
eis	is	PRO
meo	meus	PRO
judicio	iudicium	NN
,	,	$,
memoria	memoria	NN
dignum	dignus	ADJ
est	sum	V
;	;	$.
ubi	ubi	CON
nec	nec	CON
sublimitas	sublimitas	NN
sermonum	sermoneo	NN
,	,	$,
nec	nec	CON
profunditas	profunditas	NN
sensuum	sensus	NN
vel	vel	CON
ex	ex	AP
aliqua	aliqui	PRO
parte	pars	NN
poterunt	possum	V
inveniri	invenio	V
.	.	$.

non	non	ADV
enim	enim	CON
eas	is	V
excipiendas	excipio	V
dictaveram	dicto	NN
,	,	$,
sed	sed	CON
mittendas	mitto	V
,	,	$,
dimittendas	dimitto	V
utique	utique	ADV
si	si	CON
praenoscere	praenosco	V
licuisset	licet	V
.	.	$.

nam	nam	CON
cum	cum	AP
multitudo	multitudo	NN
diversorum	diversus	ADJ
negotiorum	negotium	NN
irrueret	irruo	V
super	super	AP
me	ego	PRO
,	,	$,
manum	manus	NN
a	ab	AP
calamo	calamus	NN
,	,	$,
mentem	mens	NN
a	ab	AP
studio	studium	NN
hujusmodi	huiusmodi	PTC
studiosius	studiose	V
extergebam	extergo	NN
,	,	$,
et	et	CON
hoc	hic	PRO
non	non	ADV
minus	minus	ADV
velociter	velociter	ADV
quam	quam	ADV
libenter	libenter	ADV
,	,	$,
dormiebat	dormio	V
anima	anima	NN
mea	meus	PRO
prae	prae	ADV
taedio	taedium	NN
,	,	$,
taediosi	taediosus	ADJ
operis	opus	NN
multitudine	multitudo	NN
provocata	provoco	V
,	,	$,
nec	nec	CON
poteram	potera	ADJ
ad	ad	ADV
plurima	multus	NN
,	,	$,
sicut	sicut	CON
ad	ad	ADV
singula	singulus	ADJ
vigilare	vigilo	V
:	:	$.
ad	ad	ADV
illud	ille	PRO
solummodo	solummodo	ADV
vigilans	vigilo	V
,	,	$,
ut	ut	CON
possem	possis	NN
petentes	peto	V
vel	vel	CON
exspectantes	exspecto	V
citius	cito	ADV
expedire	expedio	V
,	,	$,
hinc	hinc	ADV
est	sum	V
quod	quod	CON
multa	multus	NN
similia	similis	ADJ
ibi	ibi	ADV
posita	pono	V
sunt	sum	V
;	;	$.
multa	multus	NN
tam	tam	ADV
de	de	AP
veteribus	vetus	NN
quam	quam	ADV
novis	novus	ADJ
epistolis	epistola	NN
nunc	nunc	ADV
quidem	quidem	ADV
latenter	latenter	ADV
impressa	impredior	V
,	,	$,
nunc	nunc	ADV
signanter	signanter	ADV
expressa	expredior	V
,	,	$,
cum	cum	AP
mihi	ego	PRO
melius	bonus	ADV
memoria	memoria	NN
quam	quam	ADV
ingenium	ingenium	NN
subveniret	subvenio	V
.	.	$.

nec	nec	CON
hoc	hic	PRO
dico	dico	V
quasi	quasi	CON
,	,	$,
si	si	CON
voluissem	volo	V
,	,	$,
potuissem	possum	NN
sententiosum	sententiosus	ADJ
opus	opus	NN
in	in	AP
limatam	limatus	ADJ
eloquentiam	eloquentia	NN
complanare	complano	V
:	:	$.
cum	cum	CON
hoc	hic	PRO
longe	longus	ADJ
fecerit	facio	V
a	ab	AP
me	ego	PRO
et	et	CON
ingenii	ingenium	NN
tarditas	tarditas	V
,	,	$,
et	et	CON
exercitii	exercitium	V
raritas	raritas	NN
et	et	CON
diversitas	diversitas	NN
propositi	propositus	NN
mei	meus	PRO
.	.	$.

non	non	ADV
sum	sum	V
orator	orator	V
,	,	$,
neque	neque	CON
filius	filius	NN
oratoris	orator	NN
,	,	$,
sed	sed	CON
homo	homo	NN
simplex	simplex	ADJ
et	et	CON
domi	domus	NN
habitans	habito	V
,	,	$,
rusticanus	rusticanus	V
utique	utique	ADV
et	et	CON
vellicans	vellico	ADJ
sycomoros	sycomor	NN
.	.	$.

illis	ille	PRO
verborum	verbum	NN
venationes	venatio	NN
tota	totus	ADJ
voluntate	voluntas	NN
relinquo	relinquo	V
,	,	$,
qui	qui	PRO
per	per	AP
locutionum	locutio	NN
silvas	silva	NN
libenter	libenter	ADV
deambulant	deambulo	V
,	,	$,
et	et	CON
rhetoricos	retoricus	ADJ
modulos	modulus	NN
quasi	quasi	CON
florentes	floro	ADJ
ramusculos	ramusculus	NN
decerpere	decerpo	V
gloriantur	glorior	V
.	.	$.

isti	iste	PRO
enim	enim	CON
sunt	sum	V
,	,	$,
qui	qui	PRO
eloquia	eloquia	NN
domini	dominus	NN
,	,	$,
eloquia	eloquia	NN
casta	castum	ADJ
quasi	quasi	CON
tribulosa	tribulosus	NN
quaeque	quisque	PRO
refugiant	refugio	V
;	;	$.
et	et	CON
ab	ab	AP
asperitate	asperitas	NN
segetum	sego	NN
abhorrentes	abhorreor	V
,	,	$,
spinarum	spina	ADJ
floribus	flor	NN
inhiant	inhio	V
,	,	$,
vanitate	vanito	V
utique	utique	ADV
pleni	plenum	ADJ
,	,	$,
non	non	ADV
veritate	veritas	NN
,	,	$,
si	si	CON
tamen	tamen	ADV
vanitate	vanitas	NN
quis	quis	PRO
possit	possum	V
impleri	impleo	V
.	.	$.

vos	vos	PRO
ergo	ergo	ADV
,	,	$,
dilectissimi	dilectus	ADJ
,	,	$,
qui	qui	PRO
eas	is	PRO
eligere	eligo	V
et	et	CON
in	in	AP
unum	unus	NN
colligere	colligo	V
voluistis	volo	V
,	,	$,
supprimite	supprimo	V
verba	verbum	NN
dicta	dictum	V
potius	potius	ADV
quam	quam	CON
dictata	dicto	V
,	,	$,
nec	nec	CON
efferatis	effero	V
in	in	AP
publicum	publicum	NN
quod	quod	CON
publicum	publicum	ADJ
erubescit	erubesco	V
.	.	$.

alioquin	alioqui	ADV
ego	ego	PRO
de	de	AP
verecundia	verecundia	NN
,	,	$,
vos	vos	PRO
de	de	AP
amicitia	amicitia	NN
periclitabimini	periclitabinus	NE
:	:	$.
et	et	CON
in	in	AP
illa	ille	PRO
re	res	NN
facietis	facio	V
offendiculum	offendiculum	NN
,	,	$,
quae	qui	PRO
singulariter	singulariter	ADV
odit	odi	V
offensionem	offensio	NN
.	.	$.

nec	nec	CON
hoc	hic	PRO
dico	dico	V
,	,	$,
quasi	quasi	CON
de	de	AP
vobis	vos	PRO
vel	vel	CON
dubitem	dubitem	NN
,	,	$,
vel	vel	CON
debeam	debeo	V
dubitare	dubito	V
:	:	$.
cum	cum	CON
utriusque	uterque	PRO
visceribus	viscus	NN
perenniter	perenniter	ADV
invisceratus	inviscero	V
sim	sim	V
in	in	AP
charitate	caritas	NN
dei	deus	NN
et	et	CON
patientia	patientia	NN
christi	christus	NP
.	.	$.

tu	tu	PRO
es	sum	V
enim	enim	CON
regii	regius	ADJ
germinis	germen	NN
praefulgidum	praefulgidus	NN
sidus	sidus	NN
;	;	$.
qui	qui	PRO
de	de	AP
summo	summus	ADJ
rerum	res	NN
vertice	verticum	NN
veniens	venio	V
,	,	$,
mundi	mundus	NN
gloriam	gloria	NN
in	in	AP
terra	terra	NN
collisisti	collido	V
;	;	$.
quem	qui	PRO
et	et	CON
nobilitas	nobilitas	NN
singularis	singularis	ADJ
,	,	$,
et	et	CON
humilitas	humilitas	NN
specialis	specialis	ADJ
non	non	ADV
minus	parve	ADV
amabilem	amabilis	ADJ
quam	quam	CON
admirabilem	admirabilis	NN
reddiderunt	reddo	V
.	.	$.

tu	tu	PRO
vero	vero	CON
alter	alter	PRO
dulcissimae	dulcissimus	ADJ
conservationis	conservatio	NN
speculum	speculum	NN
et	et	CON
exemplum	exemplum	NN
:	:	$.
quem	qui	PRO
et	et	CON
jucunda	iucundus	V
severitas	severitas	NN
,	,	$,
et	et	CON
severa	severus	ADJ
jucunditas	iucunditas	NN
,	,	$,
et	et	CON
affabilem	affabilis	NN
,	,	$,
et	et	CON
imitabilem	imitabilis	ADJ
praebuerunt	praebeo	V
.	.	$.

ille	ille	PRO
autem	autem	CON
,	,	$,
qui	qui	PRO
vos	vos	PRO
elegit	eligo	V
ante	ante	AP
mundi	mundus	NN
constitutionem	constitutio	NN
,	,	$,
et	et	CON
vocavit	voco	V
in	in	AP
admirabile	admirabilis	NN
lumen	lumen	NN
suum	suus	NN
,	,	$,
sit	sum	V
vobis	vos	PRO
via	via	NN
in	in	AP
moribus	mos	NN
,	,	$,
veritas	veritas	NN
in	in	AP
sermonibus	sermo	NN
,	,	$,
in	in	AP
splendoribus	splendor	NN
vita	vita	NN
cum	cum	CON
apparuerit	appareo	V
splendor	splendor	NN
gloriae	gloria	NN
,	,	$,
et	et	CON
figura	figura	NN
substantiae	substantia	NN
ejus	is	PRO
,	,	$,
ad	ad	ADV
judicandum	iudico	V
orbem	orbis	NN
terrae	terra	NN
in	in	AP
aequitate	aequitas	NN
,	,	$,
et	et	CON
populos	populus	NN
in	in	AP
veritate	veritas	NN
sua	suus	PRO
charissimo	carus	ADJ
fratri	frater	NN
,	,	$,
nicolaus	nicolo	ADJ
charissimus	carus	V
ille	ille	PRO
frater	frater	NN
suus	suus	PRO
charitatem	caritas	NN
fraternitatis	fraternitas	NN
,	,	$,
et	et	CON
fraternitatem	fraternitas	NN
charitatis	caritas	NN
in	in	AP
christo	christus	NN
.	.	$.

multis	multus	ADJ
et	et	CON
multiplicibus	multiplex	V
amicitiae	amicitia	NN
mundi	mundus	NN
illecebris	illecebris	NN
revocatus	revoco	V
dormientem	dormio	NN
te	tu	PRO
et	et	CON
multo	multus	ADJ
tempore	tempus	NN
tempus	tempus	NN
redimentem	redimo	ADJ
suscitare	suscito	V
sustineo	sustineus	NN
epistola	epistola	NN
dulciori	dulcior	NE
.	.	$.

nec	nec	CON
attendas	attendo	V
hic	hic	PRO
aurei	aureus	ADJ
sermonis	sermo	NN
pulchritudinem	pulchritudo	NN
vel	vel	CON
styli	stylis	ADJ
lenocinantis	lenocino	NN
insignia	insignium	ADJ
,	,	$,
sed	sed	CON
affectum	affectus	NN
accipe	accipio	V
presse	presse	NN
cauteque	caute	NN
signatum	signo	V
.	.	$.

verus	verus	ADJ
enim	enim	CON
affectus	affectus	NN
non	non	ADV
facit	facio	V
praemium	praemium	NN
,	,	$,
non	non	ADV
captat	capto	V
benevolentiam	benevolentia	NN
,	,	$,
nullo	nullus	PRO
utitur	utor	V
blanditiarum	blanditia	NN
fuco	fucus	NN
,	,	$,
sed	sed	CON
nuda	nudus	ADJ
frondositate	frondositas	NN
cogitata	cogito	V
perorat	peroro	V
.	.	$.

audi	audio	V
ergo	ergo	ADV
jam	iam	ADV
,	,	$,
quod	quod	CON
te	tu	PRO
conveniat	convenio	V
audire	audio	V
,	,	$,
et	et	CON
me	ego	PRO
dicere	dico	V
deceat	decet	V
.	.	$.

nihil	nihil	PRO
tam	tam	ADV
celerrime	celerrimus	ADV
inter	inter	AP
homines	homo	NN
consenescit	consenesco	V
quam	quam	ADV
beneficium	beneficium	NN
,	,	$,
cum	cum	CON
aeternae	aeternus	ADJ
memoriae	memoria	NN
infigendum	infigo	NN
ab	ab	AP
omnibus	omnis	ADJ
praedicetur	praedico	V
.	.	$.

testis	testis	NN
enim	enim	CON
mihi	ego	PRO
est	sum	V
deus	deus	NN
,	,	$,
et	et	CON
conscientiae	conscientia	NN
tuae	tuus	PRO
non	non	ADV
latet	lateo	V
arcanum	arcanus	NN
quod	quod	CON
dilectio	dilectio	NN
tua	tuus	PRO
ab	ab	AP
ipsis	ipse	PRO
infantiae	infantia	NN
rudimentis	rudimo	V
perennem	perennis	ADJ
in	in	AP
pectore	pector	NN
meo	meus	PRO
pepigit	pepigo	V
mansionem	mansio	NN
.	.	$.

cum	cum	CON
enim	enim	CON
cognovi	cognosco	V
indolem	indoles	NN
tuam	tuus	PRO
,	,	$,
extuli	extulo	V
eam	is	PRO
,	,	$,
et	et	CON
ingenium	ingenium	NN
habile	habilis	ADJ
ad	ad	ADV
formandum	formo	V
,	,	$,
subtilioribus	subtilis	NN
demonstrationum	demonstratio	ADJ
lineis	linea	NN
ad	ad	ADV
stellantis	stello	V
sapientiae	sapientia	NN
solium	solium	NN
,	,	$,
quantum	quantum	PRO
potui	possum	V
,	,	$,
invitavi	invito	V
.	.	$.

susurrantibus	susurro	NN
aliis	alius	PRO
et	et	CON
invidiosa	invidiosus	ADJ
murmuratione	murmuratio	NN
loquentibus	loquor	V
,	,	$,
cur	cur	ADV
tantum	tantum	ADJ
in	in	AP
te	tu	PRO
animi	animus	NN
reclinassem	reclino	NN
,	,	$,
labia	labium	NN
insurgentium	insurgo	V
,	,	$,
conscientiae	conscientia	NN
securus	securus	ADJ
excepi	excepio	NN
,	,	$,
et	et	CON
justitia	iustitia	NN
in	in	AP
judicium	iudicium	NN
conversa	conversus	NE
,	,	$,
quae	qui	PRO
fortiter	fortiter	ADV
coeperam	coepero	V
,	,	$,
fortius	fortiter	ADV
consummavi	consummo	V
.	.	$.

ad	ad	AP
haec	hic	PRO
,	,	$,
si	si	CON
quid	quis	PRO
tibi	tu	PRO
gratum	gratus	NN
fuit	sum	V
quod	quod	CON
sub	sub	AP
facultatis	facultas	NN
meae	meus	PRO
terminis	terminum	NN
adhaesissent	adhaedo	V
,	,	$,
libentiori	libens	V
animo	animus	NN
et	et	CON
vultu	vultus	NN
alacriori	alacrum	NP
donantem	dono	NN
,	,	$,
quam	qui	PRO
accipientem	accipio	V
vidisti	video	V
,	,	$,
summumque	summum	V
mihi	ego	PRO
studium	studium	NN
fuit	sum	V
,	,	$,
*	*	$(
ut	ut	CON
ubi	ubi	CON
verbum	verbum	NN
onerosum	onerosus	ADJ
et	et	CON
summisso	summissus	ADJ
vultu	vultus	NN
dicendum	dico	V
*	*	$(
rogo	rogo	V
tenui	tenuus	NN
cognitionis	cognitio	NN
rimula	rimula	NN
praevenirem	praevenio	NE
.	.	$.

noveram	novera	NN
enim	enim	CON
vultum	vultus	NN
tuum	tuus	PRO
in	in	AP
verecundiae	verecundia	NN
fabrica	fabrica	NN
fabricatum	fabrico	V
vix	vix	ADV
ad	ad	AP
quaerendi	quaero	V
januam	ianua	NN
aspirare	aspiro	V
,	,	$,
si	si	CON
quis	quis	PRO
tibi	tu	PRO
vel	vel	CON
odientis	odiens	NN
vel	vel	CON
invidentis	invidens	NN
vultum	vultum	NN
*	*	$(
suum	suus	PRO
ostendit	ostendo	V
,	,	$,
aut	aut	CON
communem	communis	ADJ
gratiam	gratia	NN
,	,	$,
aut	aut	CON
commune	communis	ADJ
periculum	periculum	NN
reportavit	reporto	V
.	.	$.

sed	sed	CON
ne	ne	CON
juxta	iuxta	AP
comicum	comicus	NN
ista	iste	PRO
commemoratio	commemoratio	NN
sit	sum	V
quasi	quasi	CON
exprobatio	exprobatio	NN
accepti	accipio	NN
beneficii	beneficium	V
,	,	$,
parcam	parcus	ADJ
verbis	verbum	NN
et	et	CON
styli	stylis	ADJ
verbositatem	verbositas	NN
tuae	tuus	PRO
conscientiae	conscientia	NN
derelinquam	derelinquo	NN
.	.	$.

placuit	placeo	V
tibi	tu	PRO
ut	ut	CON
trecis	trecus	ADJ
ires	iris	NN
;	;	$.
fateor	fateor	NN
,	,	$,
displicuit	displiceo	V
mihi	ego	PRO
.	.	$.

quare	quare	ADV
displicuerit	displiceo	V
,	,	$,
non	non	ADV
effugit	effugio	V
memoriam	memoria	NN
meam	meus	PRO
.	.	$.

praetermissa	praetermitto	V
autem	autem	CON
illa	ille	PRO
principali	principalis	ADJ
causa	causa	NN
,	,	$,
quae	qui	PRO
a	ab	AP
volubilitate	volubilitas	NN
tui	tuus	PRO
pectoris	pector	NN
non	non	ADV
recessit	recedo	V
,	,	$,
intravit	intro	V
per	per	AP
fenestras	fenestra	NN
tuas	tuus	PRO
;	;	$.
et	et	CON
oculi	oculus	NN
columbae	columba	NN
columbam	columba	PRO
penitus	penitus	ADV
exuerunt	exum	V
.	.	$.

commutavi	commuto	V
vultum	vultum	NN
meum	meus	PRO
coram	coram	AP
te	tu	PRO
,	,	$,
cum	cum	CON
animum	animus	NN
non	non	ADV
mutassem	muto	V
,	,	$,
ut	ut	CON
saltem	saltem	ADV
nobiliori	nobilis	ADJ
intuitu	intuitus	NN
cursum	cursus	NN
retraherem	retraho	NN
fugientis	fugio	V
,	,	$,
sed	sed	CON
non	non	ADV
potui	possum	V
.	.	$.

ad	ad	ADV
extremum	extremus	NN
laesus	laesus	NP
veniam	venia	NN
petens	peto	V
,	,	$,
victus	victus	V
fateor	fateor	NN
a	ab	AP
pusillanimitate	pusillanitas	NN
spiritus	spiritus	NN
,	,	$,
quidquid	quisquis	PRO
turbulentum	turbulentum	V
erat	sum	V
,	,	$,
in	in	AP
serenitatem	serenitas	NN
reduxi	reduco	V
,	,	$,
referens	refero	V
victum	victum	NN
et	et	CON
fructum	fructus	NN
auferens	aufero	V
.	.	$.

exspectavi	exspecto	V
ut	ut	CON
scriberes	scribo	V
mihi	ego	PRO
,	,	$,
et	et	CON
attenderes	attendo	V
magistrum	magister	NN
honore	honor	NN
,	,	$,
priorem	prior	V
ordine	ordo	NN
,	,	$,
provectum	provectus	V
aetate	aetas	NN
,	,	$,
et	et	CON
,	,	$,
quod	quod	CON
his	hic	PRO
majus	magnus	ADJ
est	sum	V
,	,	$,
amicum	amicus	NN
sollicitudine	sollicitudo	NN
,	,	$,
sed	sed	CON
non	non	ADV
profuit	prosum	V
.	.	$.

videns	video	V
autem	autem	CON
quia	quia	CON
nihil	nihil	NN
proficerem	proficio	NN
,	,	$,
et	et	CON
tantum	tantus	PRO
ignem	ignis	NN
in	in	AP
tenues	tenus	NN
evanuisse	evaneo	V
scintillulas	scintillus	NN
,	,	$,
metuens	metuens	V
ne	ne	CON
in	in	AP
mortuos	mortuus	NN
cineres	ciner	ADJ
penitus	penitus	ADV
deperiret	deperio	V
,	,	$,
afflatu	afflatus	V
mollioris	mollior	NN
spiritus	spiritus	NN
reaccendere	reaccendo	V
studeo	studeo	NN
.	.	$.

insensate	insenso	V
puer	puer	NN
,	,	$,
quis	quis	PRO
animum	animus	NN
tuum	tuus	PRO
avertit	averto	V
a	ab	AP
tantae	tantus	ADJ
amicitiae	amicitia	NN
firmitate	firmitas	V
?	?	$.
cui	qui	PRO
credidisti	credo	V
,	,	$,
incredule	incredulo	V
,	,	$,
ut	ut	CON
illum	ille	PRO
unicum	unicus	ADJ
tuum	tuus	PRO
a	ab	AP
tuis	tuus	PRO
visceribus	viscus	NN
separares	separaris	V
?	?	$.
elapsi	elabo	V
sunt	sum	V
quidam	quidam	PRO
eorum	is	PRO
a	ab	AP
latere	latus	NN
nostro	noster	PRO
eo	is	PRO
plus	multum	ADV
odientes	odiens	V
,	,	$,
quo	quo	PRO
magis	magis	ADV
amare	amo	V
debuerant	debeo	V
,	,	$,
invicem	invicem	ADV
mordentes	mordeo	V
et	et	CON
invicem	invicem	ADV
consumpti	consumo	V
.	.	$.

ii	numeral	NUM
omnes	omnis	ADJ
quasi	quasi	CON
ex	ex	AP
uno	unus	NUM
ore	os	NN
conceperunt	concipio	V
dolorem	dolor	NN
,	,	$,
etc	cetera	cetera
.	.	$.

sed	sed	CON
et	et	CON
ille	ille	PRO
collateralis	collateralis	NN
tuus	tuus	PRO
(	(	$(
quem	qui	PRO
nominare	nomino	V
sermo	sermo	NN
secretior	secretus	ADJ
dedignatur	dedigno	V
)	)	$(
,	,	$,
melli	mellus	ADJ
venenum	venendum	NN
immiscuit	immisceo	V
,	,	$,
qui	qui	PRO
novit	nosco	V
fere	fere	ADV
misturam	mistura	NN
myrrhae	myrrha	NN
et	et	CON
aloes	alo	NN
plusquam	plusquam	NN
libras	libra	NN
centum	centum	NUM
;	;	$.
juvenis	iuvenis	NN
perpetuae	perpetuus	ADJ
levitati	levitas	NN
et	et	CON
infinitae	infinitus	NN
garrulitati	garrulitas	NN
consecratus	consecro	ADJ
.	.	$.

nec	nec	CON
amans	amo	ADJ
quemquam	quisquam	V
nec	nec	CON
amatus	amo	V
ab	ab	AP
ullo	ullus	PRO
.	.	$.

juv	iuvio	NP
.	.	$.

v	numeral	NUM
,	,	$,
.	.	$.

doctor	doctor	NN
diligere	diligo	V
odientes	odio	V
se	sui	PRO
,	,	$,
et	et	CON
odio	odium	NN
habere	habeo	V
diligentes	diligo	V
se	sui	PRO
